Gene	GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
RNASET2	0.921393348	0.145887468	1.565524055	1.006210336	0.352250477	0.158267194	0.220949287	0.023879631	0.149271438	-1.13330872	-0.616792891	-0.670843788	-0.057634541	1.198576249	-1.2852421	-1.072212275
RND1	2.551443738	2.644435217	2.533247652	2.902633933	2.457367183	2.436802694	2.715146324	2.209234673	1.437252201	2.23592509	-2.491262009	-2.545312906	-3.758074259	-2.074442246	-4.092597023	-1.920209181
RND2	3.78016378	4.007335093	2.41068101	2.602714459	2.238868677	1.911174332	2.977139449	2.735019238	1.437252201	2.27268364	4.108650833	3.829726525	4.386583984	4.76266002	4.05206122	4.196654577
RNF10	10.50561022	10.49936771	10.22275554	10.2805113	10.69502288	10.65645156	11.10338731	11.07598748	9.815970239	9.877778733	8.57729237	8.521449026	8.210232536	8.270963001	8.52739364	8.60824493
RNF11	6.559283239	6.305993409	6.343862903	6.262802711	6.052044838	6.058910415	6.519375145	6.220065289	8.833408428	8.581280256	7.139915047	7.01246987	7.431132576	7.338480382	6.905288105	7.104930381
RNF111	10.61860917	10.69186212	10.55754747	10.54183706	10.93828289	10.76378101	11.08583373	11.05994243	9.667398476	9.740596735	7.789122135	7.904179689	7.529060927	7.567609447	7.872104835	7.875830428
RNF112	-5.055886575	-5.280377286	-5.254654907	-5.368829095	-5.074014278	-4.596620308	-3.551640217	-4.930316679	-0.522105814	-0.952736474	-1.754296415	0.99900761	-1.436146164	0.247485849	-1.2852421	-2.657174775
RNF113A	0.777003439	0.334332558	-0.862337485	-0.239546078	-1.904089276	-0.89618059	-1.049139876	-2.122961757	-0.419012321	-0.18221832	-0.169333914	-4.130275407	-0.588149257	-1.337476651	-2.507634522	-1.434782354
RNF114	9.452836699	9.408036956	9.412512088	9.531141409	9.807816645	9.744272934	10.13569901	10.07771795	8.589029856	8.618793118	7.363086952	7.331715544	7.340615838	7.359490875	7.412718334	7.416520516
RNF115	6.955690128	6.870322002	6.678666913	6.673856277	7.013780027	6.870475726	6.654153033	6.600577302	6.124419562	5.910356582	7.115451636	7.180905253	6.864892686	6.945148483	6.988886416	6.852600229
RNF121	5.731199749	5.850836619	4.946243698	5.007296294	5.12197302	5.399146843	5.462380254	5.24585647	5.651525059	5.751777505	5.159789682	5.233859248	5.520375199	5.414736716	5.240558328	5.263674278
RNF122	3.382905277	4.04380326	3.637128796	4.038438669	4.026648061	4.239430047	4.169458972	3.930770227	3.527137705	3.518221398	-0.906299508	-1.808347312	-1.436146164	-0.852049824	-4.092597023	-0.541697558
RNF123	4.656640425	4.850193276	4.18621426	4.427210514	3.841865101	3.850462918	4.589615442	4.583410917	4.073945865	4.379760862	5.305318441	5.418546502	5.321410525	5.581386586	5.348272145	5.139405675
RNF125	6.314255904	6.103866836	6.355908597	6.433283324	7.187786829	7.04407653	6.701419341	6.466823127	7.720362609	7.615107786	8.215809476	8.075823207	7.987179883	7.977672911	7.88002384	7.77501911
RNF126	1.88662793	1.919295059	2.367396912	2.282222596	2.44168556	2.414606948	2.702601071	2.616577781	2.549555171	2.522043109	1.756665504	2.345458024	2.545706489	2.271332591	2.097227536	1.986681415
RNF128	-2.73395848	-1.820945668	-1.167192066	-3.783866594	-5.074014278	-3.011657807	-0.007319701	0.023879631	-2.469638394	-1.870274314	0.678662992	0.624612095	-3.758074259	-3.659404746	-2.507634522	-0.541697558
RNF13	5.440967202	5.265552483	5.698814055	5.130020112	5.827606881	5.692245766	6.454452057	6.305099256	5.21385756	5.123450361	5.980413205	6.023276625	5.751700745	5.747863018	5.955889851	6.067339078
RNF130	0.921393348	1.227417354	1.82216069	1.451349867	1.192772263	1.184739406	0.696287297	1.000420658	0.450927138	0.451653781	-4.07622451	-1.322920485	-3.758074259	-2.074442246	-2.507634522	-2.657174775
RNF135	5.33964756	5.265552483	5.336867439	5.354831849	5.721213688	5.579552841	6.329473744	6.345225877	4.060628586	4.392342585	5.309637891	5.293890882	5.862145567	5.105466844	4.852846814	4.964877044
RNF138	7.591346975	7.369103453	7.809582624	7.763831282	7.928273341	7.710295806	8.393925546	8.302853583	8.382668167	8.125806808	7.373440029	7.289158144	6.909924277	6.918967945	7.455743265	7.495532587
RNF139	6.98200351	6.931815086	6.434032516	6.548915918	6.550324267	6.32447678	6.570324922	6.546935645	5.934286631	5.963318597	6.993225258	6.86901998	6.890283323	6.656876785	6.976852745	7.004009499
RNF14	9.818758642	9.633680773	9.575711744	9.532839197	9.700721315	9.486110884	9.807056766	9.790194799	7.92006976	7.834974071	6.46777394	6.494520049	6.054103047	6.063402785	6.268250062	6.399011321
RNF144A	6.14439903	6.109254053	5.939486332	5.976021589	5.960096868	5.855620933	5.848527656	5.65558477	4.051681611	3.984940247	2.493631098	3.36957048	2.4317503	0.984451443	3.04695433	1.907609844
RNF144B	6.935280931	6.917760766	6.158444078	6.053761339	6.774999796	6.588874616	6.705354682	6.699495265	4.901671535	4.609056862	1.596200832	0.624612095	1.599477746	-0.489479745	1.740292992	1.986681415
RNF145	1.010202615	1.433868231	1.45959061	1.888558748	1.265835725	0.829644447	1.463310125	1.21943044	1.778289119	1.334840116	0.316092913	0.99900761	0.885781931	0.86415721	0.2997204	0.712059034
RNF146	5.335357014	5.394697634	5.174751834	5.322041914	5.226338282	5.038190742	5.25678774	5.37460499	3.202786948	3.22189553	4.147777164	3.416619053	3.863977561	3.395877689	3.746606766	3.952619578
RNF150	1.513969033	1.774905149	0.030747312	1.345416423	2.202110127	2.003292534	1.896820284	2.188624393	0.149271438	0.16925405	-4.07622451	-2.545312906	-2.173111758	-2.074442246	-4.092597023	-1.920209181
RNF151	-5.055886575	-5.280377286	-5.254654907	-5.368829095	-5.074014278	-4.596620308	-3.551640217	-4.930316679	-0.232599197	0.574510529	0.447337446	0.262042016	-0.057634541	0.428058095	-2.507634522	-1.072212275
RNF152	-1.355446857	-5.280377286	-3.669692407	-3.783866594	-5.074014278	-2.274692213	-2.814674623	-2.608388584	-0.232599197	0.317352689	-2.491262009	-4.130275407	-3.758074259	-3.659404746	-2.507634522	-1.920209181
RNF157	-0.532324619	0.274211565	0.299933944	0.303596247	-0.550452322	-0.073058352	-0.492746528	-0.175429177	-3.692030816	-1.339759597	-4.07622451	-2.545312906	-3.758074259	-2.074442246	-4.092597023	-4.242137276
RNF157-AS1	-1.596454957	0.145887468	-2.932726812	0.05743566	-2.752086183	-2.274692213	-0.613040761	-0.072335684	0.277595535	-0.516637359	-1.754296415	-2.545312906	-0.588149257	-3.659404746	-1.2852421	-1.920209181
RNF165	-1.355446857	-0.888059864	-2.932726812	-2.561474173	-1.904089276	-1.137188689	-0.182406407	-0.842853838	1.491191009	0.004194804	-0.375784792	-0.670843788	-2.173111758	-0.199973128	-4.092597023	-0.782705657
RNF166	-2.73395848	-1.820945668	-1.347764312	-0.724972905	-0.986551437	-0.89618059	-1.966677716	-2.122961757	-3.692030816	-2.232844393	-1.754296415	-2.545312906	-2.173111758	0.428058095	-1.770668928	-4.242137276
RNF167	6.921751115	7.144576285	6.420861137	6.635040137	6.362176718	6.195356513	6.627854246	6.552995276	7.336105478	7.356673003	7.860781417	7.863016835	7.706981909	7.660831699	7.87642968	7.888754994
RNF168	0.777003439	0.82814717	0.895092212	0.653538718	0.135439088	0.532662709	0.79413462	0.495948075	3.720186165	3.951322531	1.053058507	0.914118713	-0.950719337	0.732912676	-0.005134181	0.615843719
RNF169	7.162373923	6.963094252	7.280377407	7.026972776	7.516806653	7.249261726	7.328198264	7.238668762	6.450501753	6.437053009	6.22869716	6.013107807	6.041207363	5.858264642	6.234955622	6.290218649
RNF17	8.313301786	8.106158862	7.909780679	7.815271397	8.201091737	7.893979905	8.258529721	8.231287625	7.325009547	7.187717409	5.060766602	5.076738913	5.289049653	5.13825678	5.05968782	5.169373712
RNF170	-0.807959062	-0.75681533	-0.045201542	0.35909136	-0.550452322	-0.509157467	-0.888675204	0.355085539	-1.817561698	-1.339759597	-2.491262009	-2.545312906	-2.173111758	-0.199973128	-4.092597023	-0.782705657
RNF180	5.821397558	5.618224101	5.893185986	5.900882026	6.208495028	5.951238198	5.962087379	5.835383808	4.835446191	4.637520326	2.152594181	2.279115529	1.099906736	1.895184105	1.264954982	2.297021535
RNF181	5.643685878	5.992835524	4.968139996	4.915416655	5.038425229	5.063375585	5.788951722	5.634785399	5.000294084	5.080038562	6.097452626	6.040901391	5.898350604	5.858264642	6.063486054	5.764889991
RNF182	3.980287037	3.866827639	3.776012229	3.355684758	4.185728986	4.313272776	4.457721886	4.276697641	2.847127996	2.823986829	2.190562031	1.702614607	1.856635585	1.698147258	2.015927434	1.485783179
RNF185	8.083824641	8.074560766	7.823329067	7.797177028	8.238443292	8.178784212	8.381189678	8.31775913	6.808147145	6.750556435	6.371891796	6.158590667	6.341273551	5.986253686	6.562933701	6.445238407
RNF187	8.787543813	8.951668827	7.8869733	7.980866801	8.035000142	8.126827331	7.959618279	7.878848526	7.046342973	7.187115784	6.960635937	6.920253499	6.706471491	6.799001867	7.146404735	7.170961709
RNF19A	0.370378179	0.552512728	0.722625016	0.653538718	0.653906177	0.357576002	0.696287297	-0.072335684	0.395432026	-0.086003005	-1.268869588	-1.322920485	-3.758074259	-0.852049824	-2.507634522	-1.920209181
RNF19B	0.558823269	0.986409254	0.811434283	1.006210336	0.417838818	0.829644447	0.478107127	0.495948075	1.942175204	2.377653199	0.781756485	1.935813784	1.52732796	1.895184105	0.765383973	1.372572568
RNF2	7.14715548	7.134572155	6.908051111	6.777421351	6.896451163	6.678922248	6.837453305	6.705854762	6.890111166	6.765947488	6.776305	6.690701286	6.615878396	6.645516923	7.019190713	6.813822958
RNF20	9.268223635	9.179886613	9.059432626	9.068207693	9.500520121	9.427740238	9.550827646	9.468894477	8.662310408	8.760195067	6.473560158	6.455626043	6.662938597	6.855309308	6.424087927	6.672995173
RNF207	-0.968423734	-0.75681533	-0.396673912	-0.159375729	-0.550452322	-0.073058352	0.478107127	-0.682389166	2.416493641	2.694510305	3.218396239	3.182607548	2.508712282	2.998806736	3.273725192	3.478961913
RNF212	0.826756474	0.334332558	0.627988142	0.303596247	1.034510179	0.760931697	1.961429365	1.669596163	0.700286607	0.451653781	0.56763168	0.624612095	-1.436146164	-1.337476651	-0.185706427	-0.782705657
RNF212B	-5.055886575	-2.958449191	-5.254654907	-1.668389377	-5.074014278	-4.596620308	-2.814674623	-4.930316679	-2.469638394	-0.792271802	-1.754296415	0.117652107	-3.758074259	-0.852049824	-0.922672021	0.712059034
RNF213	8.246038249	8.255262607	8.110984051	8.016898518	8.574680343	8.449651099	8.539023586	8.462939692	7.493464109	7.527994338	6.129568739	5.992552588	6.021645096	5.873924986	5.791573497	5.648127001
RNF214	7.21586823	7.234090216	7.324425276	7.242887366	7.643447953	7.532984703	7.677779471	7.633117956	7.033903433	6.95025925	5.503091428	5.515383026	5.79074765	5.916134501	5.61648679	5.57004003
RNF216	2.344992861	2.571371755	2.466444281	2.96656126	2.739766913	2.522320765	1.961429365	2.080910576	1.230801324	1.559713527	0.171703004	0.823920904	0.329388582	0.732912676	0.551259167	1.115414729
RNF216P1	6.842336896	6.880439563	6.686759564	6.845793591	7.165285897	7.024057734	7.450002543	7.342021505	6.794133809	6.761913103	6.235523805	6.374543581	5.873102797	5.877813654	6.357583225	6.367964787
RNF217	-0.663569153	-2.473022364	1.486812079	0.653538718	-2.752086183	-4.596620308	0.148799501	0.279136686	0.653744021	-0.792271802	2.818593253	2.312668089	3.676553969	3.653478209	2.446561789	2.132902155
RNF219	0.301665429	0.696902637	0.895092212	1.770722257	1.265835725	1.33411703	0.289662037	0.427235325	0.605649733	0.386065439	0.56763168	0.117652107	-0.29864264	0.247485849	0.66229048	-1.072212275
RNF219-AS1	0.301665429	-0.326180976	-0.731092951	0.185759757	-0.119817967	0.261360687	-0.182406407	-1.470885061	0.21485978	0.16925405	-0.375784792	-0.960350405	-3.758074259	-0.199973128	-2.507634522	-0.782705657
RNF220	7.40687129	7.600162848	6.400428538	6.539188166	6.328464894	6.453908598	6.611170683	6.544910098	5.68806944	5.810768836	6.40254511	6.453747533	6.346524495	6.647796063	6.537670102	6.450478226
RNF24	1.353504361	1.258781525	1.188288588	1.372637891	0.707345436	1.425747505	0.417986134	0.624272172	0.337716528	0.004194804	0.171703004	-0.042812566	-0.29864264	0.428058095	-0.392157304	-0.33524668
RNF25	-0.011492456	0.005024933	-0.12537189	-0.159375729	-0.550452322	0.047235882	-1.436162999	-0.682389166	0.605649733	0.317352689	-1.754296415	-1.808347312	-1.436146164	-0.199973128	-0.185706427	-0.782705657
RNF26	6.276709482	6.41528601	5.934551927	5.824080124	5.883813283	5.798913828	6.004865838	6.007057141	5.081657885	5.291837233	7.124061095	7.255047769	6.965586685	6.9302464	7.17008512	7.082605835
RNF31	6.245037916	6.323712575	5.707518124	5.713985243	5.893932428	6.069603695	5.900257729	5.856769645	5.276635978	5.348894206	5.844128346	5.672240958	6.123039702	6.083746648	5.860144225	5.857210534
RNF32	2.718900484	2.691166268	2.646211901	2.874344888	2.802502669	2.804259128	2.987518594	2.470562757	1.778289119	1.025889875	1.946143303	2.408883404	1.856635585	2.607381794	2.621648495	2.472108242
RNF34	9.978095569	9.992944814	10.15397337	10.15849518	10.84561724	10.7626145	11.15652762	11.117212	9.368496252	9.498292774	7.114217509	6.910699192	6.544564665	6.668147898	7.011346407	7.257210357
RNF38	4.303862985	4.824221467	4.804689553	5.039500646	5.246786271	5.186377901	5.315638523	5.166398475	4.85871597	5.113352716	2.610276017	2.583970111	2.391672861	2.44911971	2.350346473	2.834678321
RNF4	8.969512566	9.029312216	8.691611733	8.77606809	9.034591851	9.016363342	9.111250642	9.014303884	9.191185225	9.255354404	8.546971126	8.581606622	8.333030499	8.303129817	8.586663137	8.575845651
RNF40	8.656747892	8.583518587	8.169642625	8.389498237	8.76509107	8.778011678	8.891216908	8.79238414	8.444426341	8.545115363	7.707183032	7.803783988	7.43483496	7.624262421	7.628929441	7.666630607
RNF41	1.093860544	1.258781525	0.526704806	0.513813954	0.903265646	1.236269706	0.840677206	1.21943044	0.395432026	0.245202903	-0.375784792	0.117652107	-0.588149257	-0.489479745	-0.005134181	0.150180147
RNF44	0.498702276	1.348979334	1.120384524	1.64239816	1.368929218	1.511904149	1.708887333	1.409533323	1.778289119	1.878663922	2.912460177	3.049633683	3.48033048	3.871976714	3.00543506	3.209073836
RNF5	2.310435639	2.494409773	2.520132152	2.310651004	1.22976647	1.380659616	2.987518594	2.662140358	2.497793743	2.747703244	4.675319549	4.465914349	5.278099354	5.002373351	4.756025918	4.419640822
RNF6	-1.885961574	-2.958449191	-3.669692407	-3.783866594	-5.074014278	-4.596620308	-1.966677716	-4.930316679	-0.884675893	-1.580767697	0.171703004	-0.223384811	-0.588149257	-0.852049824	1.036685994	0.150180147
RNF7	5.696494071	5.815678953	5.041114027	5.157670144	3.305364089	3.42018798	3.921389005	3.589319573	4.790441045	5.021846822	6.351088334	6.111707743	6.182973347	6.107124162	6.324200505	6.138323789
RNF8	5.716427999	5.741296757	5.582184452	5.50538384	5.669978583	5.635800619	5.979091235	5.948500605	5.580210155	5.874933134	5.120992183	5.016929518	5.103012647	4.583769237	4.938070114	4.979449845
RNFT1	-1.596454957	-2.110452285	-0.610798718	-0.845267139	-1.37357456	-1.426695306	-1.049139876	-1.229876961	-0.419012321	-2.718271221	-4.07622451	-1.322920485	-3.758074259	-2.074442246	-2.507634522	-4.242137276
RNFT2	1.932798111	2.251004174	1.905216429	2.591172837	2.024017805	2.003292534	2.570756415	2.504311548	2.206822461	1.779979647	4.74714273	4.545681626	4.550264771	4.844420992	4.910217993	4.738002302
RNGTT	-1.596454957	-0.235983167	-0.731092951	0.35909136	-0.430158088	-0.689729712	-0.381715215	0.495948075	0.504366397	0.089083702	0.011238331	0.513580783	0.329388582	0.041034972	-0.005134181	0.005790237
RNH1	0.498702276	0.696902637	-0.396673912	0.561908243	0.055268739	0.261360687	-0.278621722	-0.28646049	0.700286607	0.514389536	0.968169609	0.262042016	0.996813243	1.625997473	1.192805196	1.866387181
RNLS	-1.596454957	-1.820945668	-2.447299985	-0.724972905	-1.167123682	-3.011657807	-2.814674623	-0.682389166	-1.817561698	-5.040199315	-4.07622451	-4.130275407	-3.758074259	-2.074442246	-4.092597023	-4.242137276
RNMT	6.809460069	6.707952363	6.602159645	6.603791767	6.672919859	6.368442449	6.164321773	6.120212226	6.585256585	6.570364188	7.265294313	7.237685303	6.953592715	6.967216906	7.250033276	7.382201269
RNMTL1	5.074683987	5.224441701	4.471563252	4.548542984	4.227481917	4.337070347	3.888536845	3.82122738	5.740511085	5.879408923	6.410610512	6.468707564	5.957887731	6.254980386	6.47059925	6.334347071
RNPC3	5.432957771	5.20243067	5.400875816	5.471161976	5.446604403	5.373485583	5.583641541	5.560534197	4.979215372	4.961208879	4.681998705	4.450925175	4.531944588	4.883627074	4.711533999	4.549025613
RNPEP	5.450916862	5.369776927	5.548669012	5.692542098	6.187493031	6.23230952	6.606127759	6.617059884	4.604120644	4.746070312	6.082385178	6.025807669	6.194666988	6.402641391	6.553961688	6.483228982
RNPEPL1	6.607226733	6.844713253	6.043980499	6.231548458	5.929503634	5.925961223	5.963402507	5.877843093	5.027928353	5.143436066	5.116068305	5.081612888	4.910810725	5.262436191	5.479155621	5.359633512
RNPS1	1.387056921	1.433868231	1.756572348	1.979899059	1.401719153	1.632198383	2.139521688	1.756183848	2.071734838	2.707993534	2.298814921	2.469637435	2.811781349	2.879754065	2.72758194	2.357775566
RNPS1P1	5.186096574	5.026823523	4.668672578	4.824696265	5.462232938	5.396318028	5.731448136	5.811992757	5.329411896	5.436546889	6.191732575	6.118838046	5.139771197	5.897101308	6.11075098	6.018782258
RNU1-106P	-5.055886575	-3.695414786	-5.254654907	-2.561474173	-5.074014278	-4.596620308	-5.136602718	-4.930316679	-5.276993316	-5.040199315	-0.616792891	0.262042016	0.329388582	0.041034972	-0.633165404	0.512750226
RNU1-112P	-5.055886575	-5.280377286	-5.254654907	-5.368829095	-5.074014278	-4.596620308	-5.136602718	-4.930316679	-5.276993316	-3.455236815	-4.07622451	0.393286549	-3.758074259	-1.337476651	-2.507634522	-4.242137276
