WT_RNA_Rep1	WT_RNA_Rep2	WT_RNA_Rep3	Null_RNA_Rep1	Null_RNA_Rep2	Null_RNA_Rep3
CLIC1	7.85191745924665	7.87800630448777	8.02037168265403	8.60254558394815	8.73214657171414	8.76303183328598
DDAH2	6.38124683034351	6.40017069739801	6.39088661178496	5.23002474223683	5.36122718584775	5.56988640060514
MPIG6B	-2.76595809459872	-3.37098859815885	-1.53449121120145	-2.99183086233403	-2.55057332388457	-1.71480425472067
LOC105375018	-2.76595809459872	-1.78602609743769	-1.4032466779232	-1.91382835033275	-2.55057332388457	-1.95581235422446
ABHD16A	5.15753446834693	4.8816768342914	5.03101892685353	5.12537932231037	5.20249144267208	5.25806510269993
LY6G5C	-1.2920269062663	-1.44498917960262	-1.4032466779232	-0.380396150251678	-0.0792676049589848	0.139344878815877
LY6G5B	3.46286059589717	3.45936814926037	3.8561895749402	3.89217001775477	3.67123346925593	3.83505444504457
CSNK2B	6.61414216142476	6.60943663338499	6.9062791044418	6.79589035144207	6.9131368080994	7.09279836156724
GPANK1	4.85934486998765	4.57504039135663	5.05261656135126	4.42038611788244	4.40468029328534	4.7049939044802
C6orf47	4.42934575321052	3.92363215073278	4.25682674749301	4.45754709163935	4.3876696904264	4.58897649345643
APOM	1.07534415938223	1.24959781229303	1.43951358026561	-0.0120087442716561	-0.518151846192196	0.139344878815877
BAG6	8.16617461847164	8.16555004163711	8.11596222367992	8.03292405306538	8.13600678489896	8.15520472696403
PRRC2A	9.02198979763505	8.63414467745325	8.54936797264678	9.06747603955516	8.89965379674838	8.63961467653031
AIF1	-1.54356567326227	-0.834935697918638	0.222938485524473	-2.99183086233403	-3.68807684763451	-1.32778113161142
LTB	-1.41232113998401	-3.37098859815885	-1.06882763885264	-2.70232424513904	-3.20265002046427	-1.022926550083
LTA	-2.76595809459872	-4.10795419232505	-2.22636891583912	-2.99183086233403	-3.20265002046427	-1.71480425472067
NFKBIL1	3.95133751942736	4.5514471420743	4.2393544486659	3.54041682158921	3.83391610876716	4.19393476528022
ATP6V1G2	2.14626594531284	2.33498930352367	2.23809829269548	1.03791648106003	0.559850665809077	1.18466886932537
DDX39B-AS1	-0.726429730412078	-0.834935697918638	-2.7568836325379	-0.380396150251678	-0.0792676049589848	-0.557262977734188
SNORD84	-0.32117325192582	-0.938029190882742	-0.717355268351259	-0.952302498147388	-0.800551576892921	-1.71480425472067
ATP6V1G2-DDX39B	-0.444029999711353	-0.834935697918638	-1.4032466779232	-0.380396150251678	-0.800551576892921	-1.022926550083
PPIAP9	-3.61395500115367	-5.69291669304621	-2.46737701534291	-0.73549110907424	-1.1520239473943	-3.8302814721406
MICB	3.43698196407156	4.58901333390923	4.9210317216505	4.63671593732528	4.53977972542599	5.15934955447585
MICB-DT	-2.47645147740373	-2.5229916916039	-3.1194537119226	-1.40686836161287	-2.55057332388457	-1.95581235422446
HCP5	1.79882652418481	1.82278314523783	1.88697255723683	1.5729537564495	1.64104674865706	2.4734992760365
MICA	3.84383625910238	4.60972223074134	4.64589159250708	3.32407344492557	3.51942561162428	3.83030873339392
MICA-AS1	1.39503378207359	2.06863453939827	2.0561849407141	1.3539439745077	1.62661967802178	1.57344071391041
HLA-B	4.79967292787051	4.57035250732645	5.15467480411346	5.17419270142596	5.38713486371373	6.17581080117502
RPL3P2	5.8302316615457	6.02347409645147	5.97895441562258	5.31245707341761	5.4104816703039	5.68476125156096
USP8P1	-0.578331091422944	-0.563633676101244	-2.22636891583912	-1.11736174441788	-1.1520239473943	-2.60788905080416
HLA-C	7.63646185975925	7.52882145622615	7.8132883215987	7.93273424436797	8.07671182721082	8.51982897120732
HCG27	-3.12852817398342	-2.5229916916039	-2.01991803837169	-1.63819390771933	-1.76207742907829	-2.24531897141945
POU5F1	9.97107794194151	9.98405961064402	10.3249141564737	11.0411810073749	10.9590554964906	11.3388736569722
TCF19	5.15621331894976	4.83162502198964	5.12099692002738	4.90769390365145	4.8440842373487	5.03699726756906
HCG22	-1.18099559387756	-1.30059927026745	-4.34184613325905	-6.16175586377634	-6.01000494252187	-3.8302814721406
IER3	3.42825155896702	3.45428823189602	2.99503230309428	5.97619587093902	6.71514826139112	6.57734037114404
FLOT1	7.02683219970235	7.17107594412459	7.33719405313401	6.93742754630295	6.89820001060402	7.20061552072132
TUBB	11.7570933066812	11.7063361937297	11.7947378554524	11.6680969160831	11.7179354489112	11.8780031354955
MDC1	6.98688711323364	6.8401696491214	6.85721269039397	6.88860298281126	6.64037369287583	6.44855513086709
DHX16	5.89819285739386	5.9983906371449	6.03572592953106	6.30202392155905	6.39965117053798	6.60469418356304
C6orf136	3.4238664642813	3.57620998610321	3.7509110076608	3.61467716866839	3.38445775208845	4.00892231595634
ATAT1	4.3061000536533	4.62562611665651	4.69249432143548	4.03423143425217	3.88329658833869	3.98776805071324
MRPS18B	5.49718066908104	5.68375136881146	5.89297129785827	5.68098731695532	5.87987922778096	6.262915984681
PPP1R10	6.47218122387364	5.87836192546839	6.02119349699746	6.92951421804512	6.88538099737663	6.69491304609231
ABCF1	7.50433723187332	7.41642427574701	7.54600910811183	7.68245950495431	7.70026339298733	7.81282311822098
PRR3	4.51223320936844	4.47073298296961	4.55196098549555	4.61549945141558	4.33318077292601	4.52580363347882
GNL1	6.16642072117162	5.96216675215177	6.10627017215041	6.56083823518025	6.63587861199713	6.85534336758575
HLA-E	5.61149346745707	6.2982508130938	6.05582849968921	5.43769211775238	5.63790313175994	6.0115449217338
RANP1	6.36361114296834	6.4691598773281	6.76994160254196	6.40691282960417	6.45070690961934	6.73672389810643
SUCLA2P1	-2.76595809459872	-1.30059927026745	-2.46737701534291	-0.87635364491409	-0.518151846192196	-1.95581235422446
RPP21	-2.47645147740373	-4.10795419232505	-3.60488053909285	-2.25486526816782	-1.48644298646486	-1.50835337725324
TRIM39	3.75586042313025	3.73124959577189	3.88857466183333	4.07545409697868	3.71961580103117	3.99626701515031
HCG18	5.48355045466435	5.05946395350668	4.80366150320401	5.22356731239953	5.03780061148572	4.63868190866934
HLA-L	1.18305797668248	1.79089908421805	1.50781959365652	0.998115473002052	0.589907899665257	1.59598328256149
HCG17	-1.41232113998401	-0.648522573687757	-2.01991803837169	-1.30377486864877	-0.965610823163418	-2.60788905080416
TRIM26	5.33732971381331	5.20114315322781	5.34640417587413	6.43792456680483	6.48460067314935	6.36898188756449
TRIM15	-2.76595809459872	-3.37098859815885	-4.34184613325905	-2.70232424513904	-1.92254210127153	-0.20579060723281
TRIM31	-2.23544337789994	-2.88556177098861	-2.22636891583912	-1.91382835033275	-1.61768751974311	-0.557262977734188
RNF39	-0.806600079096061	-0.834935697918638	-0.372219782302572	0.579711122624809	0.0560842479359014	1.24296750989003
PPP1R11	4.87227667682735	4.97508184262632	5.07389563503104	5.22464555986444	5.34589669580655	5.50585311524503
POLR1H	4.11804278549008	4.34463026091597	4.64589159250708	3.97138634862426	4.05742941823465	4.62504574816396
HLA-J	-1.68795558259744	-0.335364688428126	-0.882414514621756	-2.25486526816782	-2.10311434691335	-1.95581235422446
HCG4P3	-3.12852817398342	-1.44498917960262	-1.67888112053662	-4.57679336305518	-6.01000494252187	-3.8302814721406
ZNRD1ASP	1.68616872341535	2.02818249566097	1.54079691610279	1.07664887554874	1.00122231290138	0.366115740662899
MICD	-2.76595809459872	-5.69291669304621	-5.92680863398021	-1.91382835033275	-4.42504244180071	-3.8302814721406
HLA-A	7.85028441197966	7.88392190667836	8.00106190053252	7.58192150469063	7.71929714944712	8.19889070278875
HLA-H	5.58914824908297	5.63519720178745	5.89297129785827	5.27963216557035	5.60516487132173	5.78749207038841
HLA-G	-0.981686785654153	-1.04906050327149	-0.434955537650534	-1.20755955338946	-0.455416090844234	0.139344878815877
MICE	-0.578331091422944	0.415607763731959	0.482582302157493	1.09563197891631	0.432938553326857	0.994146963275941
HLA-F-AS1	-1.18099559387756	-0.834935697918638	-0.372219782302572	-0.279112814414497	-0.583740187819773	-0.285960955916794
HLA-F	1.64154573199472	1.48699239696872	1.89973985331071	1.15112709150802	1.32091193559275	2.67751316805809
ZFP57	-3.12852817398342	-3.37098859815885	-3.1194537119226	-0.231018526213452	0.25678159817303	0.0110207818403376
MOG	-4.35092059531987	-4.10795419232505	-3.60488053909285	1.27287236386039	1.39087449376031	1.27125655432146
SUMO2P1	5.5783378133171	5.7711184591437	6.15300945123214	5.20292599208822	5.30910263330311	5.80210793240857
