   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
AC004231.2	5	13	7	4	3	2	2	2	10	6	0	3	10	5	2	3
AC004381.6	464	507	393	447	351	210	237	230	193	186	80	53	74	59	65	99
AC004447.2	91	98	110	116	59	42	54	46	48	28	71	57	61	72	66	64
AC004448.5	0	2	0	2	1	0	1	0	1	3	7	10	2	11	5	6
AC004453.8	267	305	271	297	144	94	326	260	845	800	1495	1619	1217	1103	1450	1840
AC004471.9	7	15	0	1	7	8	6	4	42	52	6	7	10	6	14	10
AC004538.3	676	743	748	756	949	548	1009	804	308	277	5	6	8	5	2	10
AC004540.5	33	42	21	41	10	5	21	23	19	7	2	1	0	0	0	1
AC004603.4	3	3	4	10	2	1	1	4	8	0	0	0	0	2	0	0
AC004637.1	0	1	0	0	0	1	1	1	2	15	5	8	7	12	2	5
AC004771.1	8	10	4	4	5	5	6	9	2	14	0	1	0	0	1	3
AC004840.9	505	574	307	341	458	325	542	477	355	333	50	72	111	109	41	63
AC004870.5	0	0	0	0	0	0	17	0	349	229	13	11	1	1	6	13
AC004893.11	144	176	136	197	152	125	165	161	230	242	73	105	72	73	61	119
AC004924.1	17	5	10	5	7	1	6	4	6	3	1	0	0	0	0	0
AC004941.3	15	17	11	8	4	4	5	8	2	5	0	1	0	0	1	3
AC004967.7	13	16	10	3	7	4	12	14	10	7	2	1	0	1	1	0
AC004980.7	7	16	19	16	1	3	17	8	28	33	29	24	22	32	21	20
AC004987.9	916	866	517	642	978	611	991	906	344	237	371	374	124	187	335	338
AC005014.5	12	9	6	5	7	6	12	16	4	6	3	0	3	1	4	1
AC005037.1	0	0	0	0	2	1	0	0	24	9	3	7	0	0	0	0
AC005042.2	0	3	8	1	0	0	3	0	13	9	5	3	2	3	4	2
AC005042.4	87	83	53	83	38	36	58	44	11	29	0	1	0	0	0	0
AC005062.2	8	3	1	10	2	4	9	2	3	1	0	1	0	0	0	0
AC005077.12	7	2	1	1	2	3	11	10	18	16	3	1	0	0	0	0
AC005082.12	19	38	25	15	13	7	5	11	20	27	1	5	3	2	0	2
AC005102.1	28	29	14	8	15	7	16	15	3	1	0	1	0	0	0	2
AC005150.1	30	45	9	13	41	18	23	36	38	33	9	9	5	1	7	2
AC005154.6	3	8	2	2	4	2	7	4	16	10	0	0	2	1	0	1
AC005154.8	0	0	0	11	0	0	2	0	0	0	0	1	0	2	0	2
AC005176.2	0	0	0	0	0	0	0	0	0	0	3	6	53	49	6	3
AC005224.2	5	3	7	0	1	0	5	1	25	6	14	12	14	8	10	4
AC005255.3	40	50	12	28	35	22	54	49	71	55	41	42	16	23	36	35
AC005262.4	2	4	9	3	3	1	1	2	12	11	14	15	20	17	11	16
AC005276.1	209	207	173	184	162	82	150	108	63	62	18	18	19	8	7	5
AC005306.3	7	11	11	10	10	3	2	5	12	19	7	13	11	6	14	5
AC005307.3	4	11	0	8	5	3	2	2	0	0	0	2	1	1	0	0
AC005330.2	1	1	0	0	0	0	1	1	6	14	1	5	2	0	4	2
AC005355.1	27	44	19	18	26	26	39	34	15	14	6	3	7	17	4	3
AC005355.2	27	33	6	12	13	10	27	17	1	7	0	6	0	0	5	4
AC005481.5	7	5	15	6	4	1	7	4	9	0	3	2	0	1	0	0
AC005487.2	0	0	0	0	0	0	1	0	14	15	2	2	0	0	0	3
AC005488.1	0	0	0	0	0	0	1	0	6	10	0	0	2	0	0	0
AC005517.3	0	1	5	0	0	1	1	0	2	9	14	11	23	14	25	14
AC005518.2	13	21	8	21	12	8	15	2	0	7	0	1	0	0	0	0
AC005532.5	6	4	4	13	2	8	5	8	51	20	14	18	4	7	12	25
AC005546.2	0	0	1	0	0	0	0	2	2	2	6	12	4	10	19	14
