   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
LEPROT	928	972	1527	1567	1721	1032	2445	1954	805	505	420	453	274	214	421	446
LEPROTL1	1448	1570	1398	1542	1261	774	1685	1380	503	436	546	490	357	328	596	647
LETM1	15	15	13	26	17	13	13	15	5	10	31	41	23	27	39	46
LETM1P2	3	10	0	0	0	0	7	5	7	9	11	6	6	4	17	8
LETM2	422	567	488	511	546	328	580	459	306	191	17	18	22	41	13	31
LETMD1	708	827	569	682	651	376	722	557	492	431	327	363	253	220	421	458
LEUTX	0	0	0	1	0	0	161	1	5024	4175	135	140	126	103	31	209
LFNG	1	4	0	3	2	5	9	5	389	368	48	78	76	49	30	34
LGALS1	1798	3356	1701	2067	1249	959	1550	1212	828	873	217	241	231	143	148	174
LGALS12	1033	1233	748	742	617	439	730	627	215	229	20	28	65	88	14	28
LGALS13	0	0	3	0	0	0	0	0	0	6	2	6	20	25	3	2
LGALS16	0	0	0	0	0	0	0	0	0	0	58	66	215	192	21	24
LGALS3	27	21	63	95	18	7	77	63	43	46	163	134	327	333	93	96
LGALS3BP	1	3	11	25	0	0	3	7	2	8	2	3	0	0	0	0
LGALS4	7	15	2	2	0	0	0	3	3	0	2	0	0	0	1	1
LGALS8	9922	11248	8350	9294	6804	4510	8790	6885	3714	3175	176	125	97	127	115	241
LGALS9	3	4	11	10	1	0	16	7	24	21	38	47	29	38	31	41
LGALSL	130	112	101	129	87	62	137	129	78	84	146	154	153	119	109	126
LGMN	90	127	227	236	220	158	142	83	129	168	8	9	10	18	10	20
LGMNP1	3	10	12	16	12	7	6	6	11	7	1	0	0	0	0	0
LGR4	3	3	5	7	1	1	1	3	5	3	14	10	14	17	23	21
LGR5	0	1	5	0	0	1	12	5	33	20	1	2	0	3	0	7
LGR6	33	38	7	34	16	21	53	41	26	39	11	9	6	11	4	10
LHFPL2	43	42	42	28	36	33	41	33	16	14	8	6	2	4	3	3
LHFPL3	328	399	329	236	276	149	324	248	193	153	20	21	24	9	25	39
LHFPL5	0	1	0	0	0	0	0	0	8	0	7	13	2	5	6	10
LHPP	348	453	283	377	214	156	257	245	144	109	89	98	84	78	124	139
LHX1	6	16	28	19	7	4	19	13	125	93	5	0	0	0	1	2
LHX2	1232	2039	1581	2019	1288	1081	1242	1010	1969	1784	61	79	23	20	22	60
LHX4	576	746	436	430	367	240	352	327	107	93	187	256	61	79	214	278
LHX8	4169	5072	3282	3479	3643	2425	3498	2946	676	612	18	24	4	7	6	21
LHX9	44	56	107	47	42	26	46	45	18	22	5	5	0	0	0	2
LIAS	209	250	156	214	138	91	118	86	594	551	280	268	191	173	371	329
LIFR	10	14	12	48	20	17	13	13	11	25	9	10	2	7	12	8
LIFR-AS1	24	35	25	42	14	16	23	24	14	15	4	4	17	4	6	3
LIG1	42	56	49	62	50	41	40	29	32	27	2	12	8	10	9	13
LIG3	3766	4435	3701	4062	4325	2914	4721	3860	1921	1544	1061	1054	1005	898	1356	1365
LIG4	0	12	23	21	16	11	14	7	8	2	1	1	0	2	1	1
LILRA2	0	0	0	0	0	1	0	1	0	14	1	1	0	0	0	0
LILRB4	0	0	0	12	1	1	4	3	0	13	2	6	0	0	1	0
LIMA1	185	245	419	543	472	327	473	403	203	204	11	14	9	5	12	20
LIMCH1	184	198	169	124	183	140	305	265	217	95	46	55	217	176	24	36
LIMD1	2192	2449	2146	2146	2576	1786	2785	2275	841	893	1284	1419	880	898	1441	1455
LIMD2	8	8	10	16	4	8	11	7	4	1	0	0	3	0	0	0
LIME1	1	4	13	0	0	0	0	1	5	10	13	21	19	12	26	27
LIMK1	8260	11363	7779	10084	9893	7264	11458	9368	6623	6318	502	481	315	323	449	677
LIMK2	2616	3280	2065	2312	2257	1611	2492	2184	1074	991	1928	2089	1359	1159	2390	2559
LIMS1	123	131	491	479	82	39	202	144	485	332	935	887	634	532	900	918
LIMS2	17	22	23	16	20	17	30	22	10	26	0	2	0	2	0	1
LIN28A	1583	1759	1364	1661	1620	1083	2370	1869	5240	4318	14063	14662	9726	8904	16667	17122
LIN28B	309	327	417	323	366	207	413	323	1555	1081	1772	1797	1272	1154	1885	1968
LIN37	102	130	64	96	76	61	95	130	54	31	36	42	41	47	56	34
LIN52	864	907	943	1200	1089	710	1269	1003	1179	1031	156	134	105	123	116	166
LIN54	5	9	18	19	14	7	11	23	62	27	6	12	3	6	14	8
LIN7B	219	323	165	183	78	57	87	73	36	35	6	16	2	14	14	18
LIN7C	4	5	9	18	12	6	17	9	13	13	5	10	6	8	8	19
LIN9	9	11	18	13	10	11	24	25	24	31	2	7	0	4	5	6
LINC-PINT	10	10	13	9	3	5	5	11	8	5	1	6	1	0	0	0
LINC-ROR	7	10	4	8	7	7	13	7	5	14	9	15	14	5	3	3
LINC00032	24	19	22	13	12	9	28	21	6	5	0	1	0	1	0	0
LINC00052	38	43	8	7	21	17	39	25	30	10	29	18	2	0	6	10
LINC00086	3	2	1	5	0	1	6	11	13	17	93	83	177	191	85	53
LINC00094	968	1232	783	1007	1118	766	1478	1233	587	489	98	82	74	83	61	93
LINC00113	3	7	15	7	8	3	8	8	2	0	1	0	0	0	1	0
LINC00152	10	12	45	14	1	2	1	3	4	0	50	67	105	93	65	82
LINC00167	24	28	19	9	9	7	18	12	22	26	4	2	5	0	1	1
LINC00174	7	6	9	6	11	6	8	4	10	12	5	4	2	7	1	5
LINC00176	1	1	0	1	2	2	7	4	109	90	6	21	18	17	22	15
LINC00184	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0
LINC00189	214	223	276	248	355	232	303	249	82	63	12	22	10	10	21	22
LINC00200	50	68	34	15	29	19	33	30	26	39	41	54	19	31	31	46
LINC00202-2	0	0	7	0	0	0	0	0	27	18	27	32	3	6	20	9
LINC00205	25	33	21	48	11	13	20	16	34	24	29	15	7	19	28	15
LINC00221	604	730	670	697	644	402	848	684	646	580	88	111	41	51	104	98
LINC00222	1	3	0	0	1	0	4	4	11	0	0	1	0	0	0	0
LINC00226	2	5	2	8	0	0	1	2	31	25	3	0	0	0	2	0
LINC00240	2	6	13	4	2	1	0	3	0	0	3	4	0	10	3	5
LINC00263	9	12	4	22	11	5	14	19	23	34	83	79	49	48	50	66
LINC00265	101	135	136	171	124	83	146	115	113	93	40	37	50	47	43	28
LINC00269	32	33	32	25	17	14	38	23	19	11	1	1	0	0	0	1
LINC00273	1	0	0	2	0	0	0	1	13	15	17	24	16	32	19	18
LINC00276	12	8	7	17	11	6	13	7	2	4	0	2	0	0	0	0
LINC00277	120	115	65	130	91	54	110	90	45	45	0	2	0	0	0	2
LINC00278	0	0	0	0	0	0	0	0	0	0	2	2	11	3	0	5
LINC00299	7	9	9	7	7	3	13	10	3	8	0	0	0	0	3	0
LINC00301	6	1	8	3	2	4	10	5	1	5	0	0	0	0	2	0
LINC00310	2	1	8	5	0	0	3	1	7	12	0	3	3	7	1	5
LINC00311	0	0	0	0	0	0	0	0	0	1	10	2	4	0	7	1
LINC00312	11	19	34	28	11	5	13	14	0	10	2	3	2	6	7	0
LINC00315	1	3	1	2	10	0	1	1	1	5	0	0	0	0	0	0
LINC00319	8	6	13	3	5	3	0	0	17	6	5	6	9	17	5	12
LINC00324	0	0	0	1	0	0	0	0	14	3	0	0	0	0	4	0
LINC00326	0	0	0	0	0	0	0	0	14	2	0	0	0	0	0	1
LINC00332	0	0	4	8	0	0	1	1	14	1	0	0	0	0	0	0
LINC00334	32	39	23	20	19	17	19	20	5	10	7	5	6	2	2	2
LINC00337	195	195	86	120	146	96	174	167	502	439	191	167	81	99	164	119
LINC00339	586	647	329	469	394	255	595	453	737	546	50	43	48	49	49	61
LINC00342	3	1	6	0	0	0	6	3	12	5	0	2	0	0	0	0
LINC00347	3	8	8	8	3	4	7	1	6	11	2	0	0	0	0	1
LINC00351	12	13	3	0	24	11	16	12	6	1	1	0	1	0	0	3
LINC00354	44	29	22	32	21	22	40	39	12	9	0	1	0	0	0	0
LINC00363	43	49	30	12	1	6	6	4	8	0	0	0	0	0	0	0
LINC00366	0	0	0	0	0	0	0	0	25	29	0	7	0	1	0	0
LINC00371	20	16	18	13	23	11	6	10	4	8	4	3	0	5	2	3
LINC00378	78	116	100	104	91	71	108	104	46	50	1	2	3	2	0	4
LINC00383	237	316	301	358	443	255	412	393	86	94	13	12	17	11	23	14
LINC00392	0	0	0	0	1	1	2	0	1	2	4	1	11	9	4	1
LINC00400	24	27	26	32	11	7	18	12	10	1	2	2	0	3	0	1
LINC00402	4	4	15	5	2	1	1	1	4	5	0	3	1	0	2	1
LINC00403	8	5	6	12	7	7	7	4	0	3	0	0	0	0	0	0
LINC00431	9	5	1	3	14	17	7	3	6	3	3	1	1	1	1	2
LINC00433	19	13	5	12	6	4	15	2	0	0	0	2	0	0	0	0
LINC00449	9	9	1	5	8	12	12	5	6	3	0	0	0	0	0	7
LINC00452	3	0	0	3	0	0	2	1	12	22	9	1	3	4	0	3
LINC00458	10	7	2	6	6	6	10	6	2	1	2	1	2	2	2	5
LINC00467	52	66	71	54	56	32	64	57	38	49	10	11	21	4	5	7
LINC00475	8	7	25	55	2	2	5	4	11	8	18	19	8	27	13	6
LINC00483	35	21	8	21	14	7	13	9	2	4	1	0	0	0	0	0
LINC00484	0	2	1	6	0	0	0	1	4	19	2	13	4	3	0	2
LINC00486	22	36	34	43	13	21	16	20	9	5	1	0	0	0	2	0
LINC00493	236	343	348	375	64	38	57	30	220	125	376	330	285	271	324	360
LINC00494	144	130	93	106	95	59	133	103	91	73	3	2	0	1	3	3
LINC00501	2	1	0	7	1	2	9	4	93	65	58	28	12	16	28	38
LINC00507	4	5	2	12	0	0	7	6	2	4	1	3	1	0	0	3
LINC00508	23	18	11	7	21	9	28	16	18	13	0	3	0	0	0	2
LINC00514	6	9	0	7	0	3	9	7	17	9	8	4	2	3	1	2
LINC00520	9	11	3	8	6	4	1	2	0	0	0	0	1	0	0	0
LINC00521	0	0	0	10	0	0	0	1	6	1	0	1	0	0	0	0
LINC00528	28	17	12	10	9	9	9	12	1	13	0	3	0	0	1	5
LINC00534	2	0	0	0	2	3	1	1	10	4	1	1	1	0	1	3
LINC00543	15	16	14	30	8	7	18	12	5	11	14	11	0	8	13	21
LINC00552	2	8	1	1	5	4	3	7	0	12	0	0	0	0	0	0
LINC00557	93	84	114	126	141	77	147	115	79	69	1	2	0	0	0	4
LINC00558	390	343	467	484	444	258	505	425	568	391	7	8	0	0	5	26
LINC00570	0	0	0	0	0	1	0	0	10	18	4	0	3	0	3	4
LINC00574	23	20	28	31	12	13	22	28	6	10	4	0	0	0	0	0
LINC00578	94	116	112	125	100	63	68	66	23	17	0	3	0	2	0	8
LINC00607	6	9	4	3	5	2	12	14	7	3	2	2	0	1	0	0
LINC00609	10	15	24	14	6	10	17	14	18	11	2	1	1	0	0	6
LINC00618	3	3	3	0	1	1	3	3	7	7	1	5	9	8	1	10
LINC00624	0	0	0	0	0	0	2	0	24	25	14	10	9	5	10	17
LINC00629	0	0	0	0	0	0	0	1	10	11	2	0	0	0	0	1
LINC00630	808	904	723	784	929	651	1017	832	611	623	108	97	67	59	51	97
LINC00632	36	66	19	13	18	21	32	14	20	39	2	1	0	1	0	0
LINC00634	6	14	7	12	6	7	8	11	6	7	2	0	10	1	1	1
LINC00638	2	4	0	5	1	3	4	1	6	2	7	6	2	12	6	6
LINC00641	0	0	3	3	0	0	1	0	2	2	1	1	8	13	1	4
LINC00643	96	111	96	83	129	92	127	115	33	15	25	28	56	18	14	17
LINC00645	0	1	0	0	0	0	0	0	0	1	2	4	13	8	10	14
LINC00649	64	70	22	47	51	23	58	56	93	36	22	36	22	20	26	31
LINC00657	4	2	1	7	0	0	1	0	29	19	6	14	16	13	15	18
LINC00664	149	144	96	115	131	102	176	143	199	139	37	47	39	43	44	43
LINC00665	105	99	146	154	138	87	179	149	61	42	7	10	6	5	7	15
LINC00667	197	193	136	172	172	104	129	98	96	101	149	202	117	119	182	202
LINC00669	79	58	39	39	50	25	69	71	23	28	2	0	2	0	0	1
LINC00670	61	93	77	65	111	70	99	87	56	54	0	2	0	0	2	1
LINC00672	0	5	8	0	2	1	0	1	0	1	5	0	10	16	5	6
LINC00674	78	78	48	85	95	47	147	141	53	40	15	4	0	10	3	2
LINC00676	15	33	0	4	27	13	26	21	5	15	0	0	0	0	1	4
LINC00680	7	3	0	1	8	2	5	1	47	28	5	7	5	3	0	5
LINC00683	0	0	0	5	0	0	0	0	12	0	0	1	0	0	0	0
LINC00689	212	295	295	281	235	153	265	186	222	143	17	17	4	3	14	8
LINC00693	119	116	64	77	92	65	83	65	33	26	3	6	1	0	3	3
LINC00698	277	295	173	190	208	165	274	228	146	118	2	7	1	7	3	5
LINC00705	0	1	18	5	0	0	2	0	1	0	0	0	0	0	0	0
LINC00707	438	533	326	408	463	320	565	468	342	274	72	53	51	27	31	51
LINC00709	6	7	0	0	3	3	6	1	11	1	0	0	0	0	0	0
LINC00839	0	0	0	4	0	0	5	0	219	245	6	5	5	10	7	7
LINC00843	5	4	2	11	3	2	7	1	47	61	28	28	12	22	21	29
LINC00847	723	868	461	544	451	360	595	474	228	289	14	16	8	17	8	24
LINC00852	14	20	10	5	18	10	15	10	22	26	41	55	59	36	43	63
LINC00854	1	0	2	0	0	0	2	0	6	1	4	11	10	9	8	7
LINC00857	0	0	0	0	0	0	0	0	0	0	60	57	16	24	97	90
LINC00858	0	0	0	0	0	0	4	0	2	0	7	6	17	3	4	7
LINC00863	62	83	54	63	74	52	104	68	79	97	32	36	21	25	43	28
LINC00865	0	1	0	6	1	0	1	1	29	8	1	0	0	1	0	3
LINC00868	0	2	0	0	0	0	1	0	11	9	0	0	0	0	0	1
LINC00869	0	0	8	9	0	0	1	0	10	27	0	1	3	2	0	1
LINC00870	22	19	20	21	9	6	20	14	11	19	0	0	0	0	0	2
LINC00871	49	56	78	74	69	42	56	58	21	20	0	2	2	0	0	0
LINC00883	7	7	68	77	1	7	7	4	32	19	6	6	5	2	3	4
LINC00884	4	7	0	1	4	3	2	4	28	6	14	14	7	2	4	10
LINC00885	125	155	89	78	62	43	85	56	81	72	8	7	0	6	5	5
LINC00887	7	14	4	6	9	9	13	15	7	10	0	0	0	0	0	0
LINC00888	98	137	262	182	191	89	118	115	41	50	78	75	72	56	75	80
LINC00890	14	13	5	14	11	3	8	13	21	3	3	8	0	0	6	0
LINC00894	9	13	12	7	6	4	16	11	70	63	13	17	38	9	14	15
LINC00896	0	0	0	0	0	0	2	0	1	10	1	1	0	3	0	0
LINC00907	1211	1516	752	894	466	399	824	731	256	184	6	10	7	12	10	7
LINC00910	3	4	3	8	2	2	7	13	57	48	83	87	72	94	110	82
LINC00922	13	27	18	19	14	8	22	24	10	7	0	1	3	0	2	1
LINC00925	45	79	26	31	45	36	35	34	243	186	24	41	24	22	54	34
LINC00926	0	0	1	0	0	0	2	0	5	14	2	5	6	5	5	8
LINC00929	4	2	13	0	1	0	0	0	0	5	2	3	0	0	0	0
LINC00933	34	42	42	38	24	17	49	29	13	18	0	1	0	0	1	0
LINC00935	0	0	0	0	0	0	1	0	30	27	0	0	0	1	0	6
LINC00936	10	20	5	26	13	9	8	10	77	32	16	15	13	8	25	20
LINC00937	42	72	50	64	25	25	31	24	9	7	2	5	0	1	0	1
LINC00941	2	5	0	21	0	1	2	3	1	6	2	3	0	4	1	0
LINC00943	1052	1285	912	1036	695	435	791	640	193	169	3	3	2	0	0	10
LINC00948	0	0	0	0	0	0	0	0	10	7	0	0	0	3	0	0
LINC00954	115	110	57	89	83	61	75	60	30	41	4	1	1	1	0	1
LINC00957	29	42	26	36	22	9	25	16	3	14	4	1	1	0	1	1
LINC00958	1	0	0	0	0	1	0	0	12	8	0	1	0	0	1	1
LINC00960	2	4	2	2	0	1	3	0	2	17	20	20	0	6	6	5
LINC00961	33	37	45	27	36	24	40	33	14	9	1	1	0	0	0	1
LINC00963	2	1	11	7	3	4	25	26	36	40	35	48	17	28	37	31
LINC00964	4	15	5	0	15	5	4	10	7	2	4	0	0	3	0	0
LINC00969	421	537	221	256	231	136	450	383	358	316	283	288	252	221	250	312
LINC00973	10	3	0	0	5	5	8	3	21	15	1	1	2	0	0	1
LINC00977	2	9	12	4	2	1	10	6	1	0	0	0	0	0	0	0
LINC00989	33	36	14	8	9	12	24	22	10	8	1	9	6	3	3	5
LINC00992	1	4	3	0	2	3	5	2	4	10	10	22	10	9	14	14
LINC00996	6	2	2	3	15	4	2	8	9	4	1	2	0	0	0	0
LINC00997	0	0	5	0	0	0	4	0	2	3	7	13	20	18	14	24
LINC00999	133	171	151	172	168	109	184	114	132	141	53	49	58	74	38	60
LINC01003	3	4	15	18	2	0	5	1	65	53	55	40	45	50	62	59
LINC01006	9	17	0	1	12	10	24	12	9	7	0	2	0	0	0	0
LINC01010	26	28	4	30	31	11	25	12	11	7	2	7	0	7	6	7
LINC01011	49	46	29	30	28	25	30	24	2	13	6	18	23	9	8	3
LINC01019	32	39	12	23	13	8	24	33	3	6	0	0	0	0	0	0
LINC01021	0	0	0	0	0	0	1	0	63	65	115	118	75	66	91	102
LINC01022	52	48	42	50	42	29	23	30	6	5	0	0	0	0	0	0
LINC01030	38	42	27	17	18	21	22	20	19	6	4	1	3	2	0	0
LINC01031	16	14	6	16	17	7	8	15	11	12	0	3	1	1	2	1
LINC01033	0	0	0	0	0	0	1	0	49	25	18	15	10	9	7	2
LINC01038	2	7	0	10	1	0	1	1	1	0	0	0	0	0	0	0
LINC01043	16	13	0	10	21	7	21	12	41	14	1	3	0	2	0	4
LINC01056	0	0	0	0	0	0	2	0	128	133	5	3	1	2	3	5
LINC01059	2	0	2	0	1	0	4	2	96	45	8	4	0	1	0	5
LINC01060	2	0	5	4	0	0	2	3	17	6	4	4	3	5	3	5
LINC01068	0	0	0	0	0	1	1	1	3	15	4	4	4	0	2	0
LINC01081	11	7	4	8	3	5	16	10	3	5	0	0	0	0	0	1
LINC01085	4	9	17	0	8	7	10	7	0	6	0	0	0	0	0	0
LINC01088	119	102	137	108	174	119	198	148	97	90	9	6	7	14	15	17
LINC01089	9	11	7	27	18	18	14	10	24	17	0	4	7	3	4	3
LINC01090	10	10	15	8	7	9	11	10	0	0	1	0	0	0	0	0
LINC01091	291	290	221	193	241	152	399	275	123	66	21	48	67	63	50	40
LINC01098	81	115	93	70	112	66	119	90	30	30	2	2	0	3	1	0
LINC01105	0	0	5	0	0	0	0	0	1	10	1	5	0	0	0	1
LINC01115	15	8	10	11	22	6	14	14	2	3	0	0	0	0	0	1
LINC01117	7	16	15	3	8	5	12	4	5	0	1	0	0	0	0	1
LINC01118	3652	4046	4041	4655	3554	2212	3839	3391	710	631	5	5	3	1	4	23
LINC01119	9	10	4	27	5	6	10	3	6	2	1	0	0	0	0	0
LINC01120	17	26	8	3	11	5	18	14	4	15	0	2	0	0	0	2
LINC01121	11	8	19	12	12	5	12	15	9	8	0	0	0	0	0	0
LINC01122	198	214	199	189	172	112	176	144	79	59	0	1	1	3	2	0
LINC01123	8	6	13	15	4	5	9	6	3	10	8	4	1	5	8	3
LINC01125	15	21	37	21	24	14	20	20	14	23	8	13	27	12	17	7
LINC01128	7217	9555	7287	7705	8735	5875	7908	6536	2701	2455	339	315	169	190	341	425
LINC01132	0	0	0	0	0	0	2	0	17	1	0	0	0	0	0	0
LINC01134	44	47	12	57	35	20	33	15	29	6	24	14	9	17	3	13
LINC01135	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	1
LINC01152	476	490	411	463	452	300	506	446	298	227	4	3	1	0	0	8
LINC01162	0	0	0	0	0	0	0	0	2	7	6	5	7	14	3	10
LINC01168	2	6	6	0	2	3	10	3	2	4	3	2	0	0	6	1
LINC01169	16	12	10	2	8	8	11	7	16	3	7	1	0	0	1	0
LINC01170	6	3	3	13	9	8	9	7	12	8	0	0	0	0	0	0
LINC01181	10	5	3	13	6	3	11	14	0	2	0	0	0	0	3	0
LINC01182	24	24	5	48	23	11	19	10	0	3	1	0	2	0	0	0
LINC01192	2	0	4	0	1	2	17	16	18	14	5	1	1	0	0	1
LINC01193	0	0	2	0	0	0	3	0	43	64	2	0	2	3	3	8
LINC01194	90	88	164	136	115	57	107	80	36	42	39	26	45	34	35	34
LINC01203	0	0	0	0	0	0	0	0	3	0	5	11	6	6	16	5
LINC01205	0	0	1	0	0	0	0	0	0	0	14	11	20	16	8	19
LINC01206	0	0	0	0	0	0	0	0	48	79	4	4	11	11	0	0
LINC01208	7	2	2	1	3	3	16	19	19	18	5	1	1	2	1	0
LINC01212	16	31	17	31	25	11	41	30	33	15	3	0	0	0	3	1
LINC01224	5	0	1	1	2	0	8	2	30	25	3	10	2	5	4	1
LINC01226	1	0	0	0	0	0	0	0	36	10	1	2	0	4	0	3
LINC01231	37	32	33	33	29	34	17	29	6	7	0	2	0	0	0	0
LINC01239	119	133	147	111	127	91	159	122	90	66	2	1	0	0	0	6
LINC01240	1	4	2	2	1	0	0	2	6	0	5	5	2	0	13	5
LINC01252	3436	3767	3092	3389	3212	2091	2780	2260	200	165	4	6	2	4	2	11
LINC01257	20	18	19	9	9	8	33	16	75	67	2	2	1	0	0	2
LINC01269	10	8	2	7	3	1	2	6	4	4	0	1	0	0	0	1
LINC01278	5	4	0	2	1	3	3	5	3	8	8	10	12	8	8	12
LINC01291	344	342	393	452	476	349	537	452	287	245	54	55	46	19	44	70
LINC01293	436	431	493	431	536	342	607	470	210	181	21	31	24	9	24	36
LINC01305	0	0	0	0	0	0	1	0	11	1	0	0	6	3	0	1
LINC01309	51	51	30	32	27	20	72	41	26	25	6	0	2	9	0	1
LINC01311	3	5	2	4	4	2	3	4	1	1	27	19	16	19	24	9
LINC01312	42	69	31	46	52	23	55	41	19	8	0	0	0	0	0	0
LINC01317	45	45	32	34	42	18	48	50	45	25	3	1	0	0	4	2
LINC01318	76	79	28	20	19	6	9	8	4	0	0	0	0	0	0	0
LINC01320	14	13	8	19	8	7	10	3	6	1	0	0	0	0	0	0
LINC01340	16	21	21	10	14	19	16	15	17	0	0	2	0	0	0	2
LINC01341	24	25	25	37	4	3	17	8	19	5	3	1	3	2	1	4
LINC01347	11	12	10	7	21	13	13	23	7	15	16	12	9	10	7	16
LINC01356	1	3	0	1	1	0	2	1	9	8	3	10	5	9	4	7
LINC01360	5	3	0	0	3	5	4	3	8	10	1	3	4	1	2	1
LINC01362	22	28	19	17	8	5	20	7	8	11	5	2	6	2	2	2
LINC01378	43	57	70	127	81	36	53	51	14	6	0	0	2	0	0	1
LINC01397	13	17	3	0	7	5	8	5	11	15	0	0	0	0	1	0
LINC01399	6	6	2	1	6	2	22	6	2	5	0	0	0	0	0	0
LINC01405	40	56	47	77	47	35	64	64	27	17	8	5	0	0	6	9
LINC01410	7	6	24	3	1	0	15	3	11	24	14	11	32	13	8	6
LINC01413	5	7	3	4	0	0	10	1	6	0	2	1	2	0	0	1
LINC01419	0	0	0	0	0	0	1	0	3	14	15	32	2	1	3	12
LINC01420	9	8	9	15	2	2	33	17	33	26	39	28	25	14	13	17
LINC01422	0	0	0	20	0	0	1	0	18	11	0	4	0	1	0	2
LINC01424	3	0	0	0	1	0	1	3	0	1	4	11	0	7	2	10
LINC01425	0	0	0	0	0	0	0	0	22	7	0	0	0	0	0	2
LINC01426	0	0	5	1	0	0	1	0	3	0	3	12	1	4	1	3
LINC01433	21	46	19	14	9	1	6	7	23	19	4	4	2	4	5	5
LINC01435	10	5	4	16	4	1	8	9	2	7	1	0	0	0	0	2
LINC01438	18	15	23	32	17	13	21	19	7	7	0	0	0	0	0	1
LINC01440	19	10	14	20	8	8	9	13	14	11	0	0	0	0	0	0
LINC01447	0	1	0	0	0	0	1	3	2	2	17	20	10	3	6	15
LINC01467	29	23	61	34	43	11	29	33	8	12	0	0	0	0	0	0
LINC01473	3	1	0	0	2	0	8	13	5	8	3	0	0	0	0	0
LINC01478	22	25	9	20	18	5	29	12	13	10	3	0	0	0	0	2
LINC01479	78	123	37	49	18	15	31	27	29	13	0	3	0	0	0	1
LINC01480	1	1	1	12	0	0	3	3	5	9	1	0	2	0	0	0
LINC01482	17	19	28	11	15	8	12	12	3	5	3	0	4	7	1	0
LINC01483	695	781	332	401	691	452	697	575	339	291	23	22	6	5	19	49
LINC01492	0	8	13	0	3	4	1	4	0	0	0	0	0	0	0	0
LINC01497	41	48	13	7	5	4	2	6	2	3	0	1	2	0	1	0
LINC01498	129	161	89	65	67	40	95	73	32	40	3	0	0	0	0	2
LINC01499	6	12	9	4	11	7	7	12	1	3	1	0	0	0	0	1
LINC01500	16	17	28	40	17	7	21	10	5	8	0	0	0	0	0	0
LINC01504	10	9	8	1	2	0	6	1	19	26	3	5	9	0	3	1
LINC01507	10	7	17	10	9	3	6	12	4	4	0	0	0	0	0	0
LINC01508	12	5	2	6	4	2	4	4	0	5	0	0	0	3	0	1
LINC01511	72	77	39	96	21	30	24	21	12	10	1	0	0	0	0	0
LINC01514	1	0	0	0	0	0	0	0	11	10	0	1	0	0	0	0
LINC01515	43	53	21	27	29	15	67	39	31	23	24	19	20	30	8	22
LINC01516	3	4	11	1	1	7	7	10	8	0	1	1	0	0	0	0
LINC01518	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0
LINC01521	13	23	0	5	12	7	12	12	25	20	6	4	1	11	2	8
LINC01524	46	59	49	42	29	23	26	23	45	25	27	37	26	24	32	38
LINC01535	34	49	50	55	11	18	25	31	22	8	5	2	9	8	2	7
LINC01543	0	0	0	0	2	0	3	0	11	7	0	1	0	1	8	3
LINC01554	120	146	39	97	83	55	84	56	56	48	1	9	9	0	0	4
LINC01560	27	19	8	3	10	6	13	12	69	19	20	12	17	10	12	17
LINC01563	1	2	7	0	0	0	0	0	1	13	2	0	8	0	0	1
LINGO1	24	39	39	37	26	31	46	29	22	29	0	4	6	1	4	5
LINGO2	40	30	38	56	41	31	34	38	24	20	1	0	0	0	1	1
LINS	18	15	17	24	23	18	36	23	31	27	5	4	0	6	6	3
LIPA	7	10	11	10	8	6	18	10	5	0	2	1	0	0	0	0
LIPC	0	0	0	0	0	0	0	0	0	1	13	26	15	16	30	17
LIPE	12	14	17	27	8	11	20	16	20	18	0	0	0	1	1	0
LIPE-AS1	297	375	237	299	268	217	319	261	182	142	7	11	8	1	5	8
LIPG	10512	11818	11006	11271	12228	7881	10386	8681	2825	2586	248	281	440	462	231	280
LIPM	229	276	11	30	260	151	327	303	178	116	0	0	0	0	0	5
LIPT1	215	231	227	141	116	43	133	84	191	146	122	134	46	43	115	98
LIX1L	42	38	44	49	66	35	97	73	39	68	38	36	52	37	8	10
LL0XNC01-116E7.4	0	0	0	0	0	0	0	0	1	10	0	1	0	0	0	0
LL0XNC01-237H1.2	105	98	109	105	113	97	190	124	270	284	55	70	49	46	35	32
LL0XNC01-39B3.1	47	62	27	38	38	18	48	39	26	15	0	0	0	0	0	0
LL0XNC01-7P3.1	3	1	3	0	0	1	3	0	24	26	13	8	5	4	2	9
LL22NC03-2H8.4	167	233	145	108	185	156	122	109	106	93	17	20	20	15	18	15
LL22NC03-30E12.10	0	0	0	0	0	0	0	0	20	5	1	0	0	0	0	1
LL22NC03-32F9.1	14	23	17	13	6	9	22	14	15	21	0	0	1	0	1	2
LL22NC03-75H12.2	14	19	21	21	10	8	16	8	10	5	0	1	1	0	0	0
LL22NC03-80A10.6	136	133	83	135	131	67	183	163	218	163	149	102	62	62	112	137
LL22NC03-86G7.1	11	10	23	5	5	3	12	7	6	9	27	26	9	14	36	8
LLGL1	277	356	338	360	172	127	257	199	273	162	641	691	619	711	704	675
LLGL2	3761	5174	2989	3856	4059	3180	6083	4995	2499	2420	1264	1451	866	944	2129	2160
